name,category,subcategory,description,season,frequency,lat_wgs84,lon_wgs84,E_LV95,N_LV95,urban_zone,origin_century,heritage_status,notes,region_segment
Lavaux vineyard terraces,Cultural landscape,Viticultural heritage,UNESCO World Heritage vineyard terraces dating from the 12th century when Cistercian monks created them. Living agricultural landscape with Chasselas wine production.,Year-round,Continuous,46.496,6.73,2545597.6,1149656.1,Lavaux - Epesses/Dézaley,12th century,Yes (UNESCO World Heritage since 2007),Exceptional cultural landscape linking Lausanne to Vevey.,Lutry-Lavaux
Épesses Nouveau en Fête,Wine tradition,New wine celebration,"Annual celebration of the new vintage in the Lavaux wine village of Epesses, with wine tasting and local food.",Autumn,Annual,46.4932,6.7423,2546539.1,1149336.4,Épesses,20th,No,Village-scale celebration of new Chasselas.,Lutry-Lavaux
Marché des vins de Chardonne,Wine tradition,Wine market,"Annual wine market in the Lavaux village of Chardonne, showcasing local Chasselas and other wines.",Variable,Annual,46.4756,6.8284,2553133.9,1147324.8,Chardonne,20th,No,Celebrating Lavaux wines.,Vevey-La Tour-de-Peilz
Pâtés de la Dame (Lavaux),Food tradition,Charitable food donation,Traditional charitable food distribution in Lavaux villages. A centuries-old social tradition.,Variable,Annual,46.496,6.73,2545597.6,1149656.1,Lavaux,Medieval,Yes (cantonal living traditions),Ancient charitable tradition.,Lutry-Lavaux
Championnat du monde des tracassets,Vehicle tradition,Vineyard vehicle race,World championship of tracassets - peculiar Vaudois vehicles (cross between tractor and old motorcycle) used in steep Lavaux vineyards.,Summer,Periodic,46.496,6.73,2545597.6,1149656.1,Lavaux,20th,No,Uniquely Lavaux tradition combining agriculture and fun.,Lutry-Lavaux
Régate des vieux bateaux,Sailing tradition,Historic boat regatta,Regatta of old/historic boats on Lake Geneva organized from La Tour-de-Peilz.,Summer,Annual,46.453,6.859,2555465.3,1144794.6,La Tour-de-Peilz - Port,20th,Yes (cantonal living traditions),Preserves historic boat heritage.,Vevey-La Tour-de-Peilz
Pain des veuves,Food tradition,Charitable food donation,Traditional distribution of bread to widows in La Tour-de-Peilz. An ancient charitable tradition.,Variable,Annual,46.453,6.859,2555465.3,1144794.6,La Tour-de-Peilz,Medieval,Yes (cantonal living traditions),Centuries-old social welfare tradition.,Vevey-La Tour-de-Peilz
Fête des Vignerons,Wine celebration,Generational festival,"UNESCO-listed once-per-generation festival celebrating winegrowers, organized by the Confrérie des Vignerons since 1797. Massive outdoor spectacle with 5000+ performers, 20,000-seat arena. Last held 2019.",Summer,Once per generation (~20 years),46.4598,6.8422,2554180.4,1145560.2,Vevey - Place du Marché,18th (since 1797),Yes (UNESCO Intangible Heritage since 2016),First Swiss tradition on UNESCO intangible heritage list. Next edition ~2039.,Vevey-La Tour-de-Peilz
Foire de la Saint-Martin,Traditional fair,Autumn market,"Over 550-year-old autumn fair in Vevey (established by Duke of Savoy in 1470). Animal parade, terroir products, spit-roasted beef, papet vaudois, procession with farm animals.",Autumn,Annual (2nd Tuesday of November),46.4598,6.8422,2554180.4,1145560.2,Vevey - Centre / Place du Marché,15th (since 1470),Yes (cantonal living traditions),Bridge between mountain/rural and urban cultures.,Vevey-La Tour-de-Peilz
Marchés folkloriques de Vevey,Market tradition,Folklore market,"Traditional folklore markets in Vevey featuring local crafts, costumes, food, and cultural demonstrations.",Summer,Periodic,46.4598,6.8422,2554180.4,1145560.2,Vevey - Place du Marché,20th,No,Showcasing regional folk traditions.,Vevey-La Tour-de-Peilz
Confrérie du Guillon,Wine tradition,Wine brotherhood,"Traditional wine brotherhood that holds elaborate feasts (ressats) at Château de Chillon, celebrating Vaud wines with ritual, song and gastronomy.",Year-round,Multiple events annually,46.4598,6.8422,2554180.4,1145560.2,Vevey (HQ) / Chillon (events),20th (since 1954),No,Named after the guillon (wooden tap) used on wine barrels.,Vevey-La Tour-de-Peilz
Foire de Brent,Traditional fair,Village fair,"Traditional fair in the Vevey district village of Brent, with local products and community gathering.",Variable,Annual,46.45,6.895,2558228.9,1144441.3,Brent (Montreux),Historical,Yes (cantonal living traditions),Local village tradition.,Vevey-La Tour-de-Peilz
Montreux Jazz Festival,Music festival,Jazz and world music,Iconic international music festival founded in 1967 by Claude Nobs. Two weeks of concerts on Lake Geneva shoreline. Second largest jazz festival in the world.,Summer,Annual (July),46.4361,6.911,2559447.8,1142887.7,Montreux - Lakefront / Convention Centre,20th (since 1967),No,"World-famous, defines Montreux's cultural identity.",Montreux-Villeneuve
Montreux Noël / Christmas Market,Christmas market,Festive tradition,"One of Switzerland's finest Christmas markets with 150+ illuminated chalets along the lakefront, Père Noël volant (flying Santa), and Maison du Père Noël at Rochers-de-Naye.",Winter,Annual (November-December),46.4361,6.911,2559447.8,1142887.7,Montreux - Lakefront / Quais,21st,No,Spectacular lakeside Christmas atmosphere.,Montreux-Villeneuve
Septembre Musical,Music festival,Classical music,"Classical music festival in Montreux, part of the rich musical tradition of the Swiss Riviera.",Autumn,Annual (September),46.4361,6.911,2559447.8,1142887.7,Montreux,20th,Yes (cantonal living traditions),Part of the classical music heritage.,Montreux-Villeneuve
Foire des Planches,Traditional fair,Village fair,"Traditional fair in the Planches quarter of Montreux, with local products and community spirit.",Variable,Annual,46.438,6.91,2559372.4,1143099.5,Montreux - Les Planches,Historical,Yes (cantonal living traditions),Named after the historic Planches neighbourhood.,Montreux-Villeneuve
Freddie Mercury tradition,Cultural tradition,Music heritage,"Cult of Freddie Mercury in Montreux, centered on his lakeside statue (erected 1996). Queen recorded multiple albums at Mountain Studios. Annual fan gatherings.",Year-round (peak September),Continuous + annual gathering,46.444,6.909,2559300.1,1143767.0,Montreux - Quai / Place du Marché,20th (statue 1996),No,Mercury lived last years in Montreux; his statue is a pilgrimage site.,Montreux-Villeneuve
Château de Chillon,Heritage site,Medieval castle,"Most visited historic monument in Switzerland. Medieval castle on lake island near Montreux with continuous cultural programming, Christmas events, and the Guillon wine brotherhood feasts.",Year-round,Continuous,46.4143,6.9274,2560692.4,1140456.0,Veytaux / Chillon,12th century (current form),No,Switzerland's most visited castle. Inspiration for Lord Byron's poem.,Montreux-Villeneuve
Noël au Château de Chillon,Christmas tradition,Castle Christmas,"Christmas festivities at Château de Chillon with seasonal decorations, activities, and medieval atmosphere.",Winter,Annual (December),46.4143,6.9274,2560692.4,1140456.0,Veytaux / Chillon,21st,No,Medieval Christmas atmosphere.,Montreux-Villeneuve
Fête nationale - Villeneuve,National celebration,Swiss National Day,1st August celebration at the eastern end of the City101 corridor with traditional lakeside festivities.,Summer,Annual (1 August),46.4001,6.92789,2560720.0,1138877.3,Villeneuve,19th,No,Eastern terminus of City101.,Montreux-Villeneuve
Vendanges (wine harvest) tradition,Agricultural tradition,Wine harvest,"The annual grape harvest across the entire Geneva-Villeneuve lakefront, from La Côte through Lavaux to Chablais. Community participation, wine pressing, celebrations.",Autumn,Annual (September-October),46.49095,6.73071,2545646.8,1149093.8,"Corridor-wide (La Côte, Lavaux, Chablais)",Roman era,Related to UNESCO Lavaux listing,Defines the rhythm of lakeside communities.,Corridor-wide / Rotating
Costume vaudois tradition,Folk tradition,Traditional dress,"Tradition of Vaudois folk costumes and dances, maintained by the ACCV with regional sections across the corridor (Nyon, Morges, Lausanne, Montreux, etc.).",Year-round,Periodic events,46.52357,6.63135,2538055.9,1152793.9,Corridor-wide (multiple sections),19th (ACCV since 1916),Yes (cantonal living traditions),Includes the iconic 'chapeau à borne' hat.,Corridor-wide / Rotating
Cuisine vaudoise,Culinary tradition,Regional gastronomy,"Traditional Vaudois cuisine: fondue au fromage, papet vaudois (leek and sausage), filets de perche, malakoffs, Vacherin Mont d'Or, tarte au vin, gâteau du Vully.",Year-round,Continuous,46.52169,6.63112,2538036.2,1152585.0,Corridor-wide,Historical,Yes (cantonal living traditions),Defines regional food identity.,Corridor-wide / Rotating
CGN steamboat crossings,Maritime tradition,Lake transport,"Historic CGN (Compagnie Générale de Navigation) paddle steamer tradition on Lake Geneva. Belle Époque fleet, New Year's Eve cruise, Naval Parade.",Year-round,Continuous + special events,46.50787,6.62802,2537782.6,1151052.0,Lausanne-Ouchy (CGN hub),19th (CGN founded 1873),Yes (cantonal living traditions),Historic fleet connects all lakeside communities.,Corridor-wide / Rotating
Fête nationale du 1er août (corridor-wide),National celebration,Swiss National Day,"Every lakeside town celebrates Swiss National Day with speeches, lantern processions, bonfires, folk songs, and fireworks over the lake.",Summer,Annual (1 August),46.52011,6.6318,2538086.3,1152408.7,Lausanne (cantonal capital),19th,No,Unifying national tradition with local character.,Corridor-wide / Rotating
Foire d'automne de Rolle,Traditional fair,Autumn market,Traditional autumn fair in the small lakeside town of Rolle.,Autumn,Annual,46.46,6.3369,2515364.6,1146003.3,Rolle,Historical,No,Local market tradition.,Rolle-Allaman
Marché de Noël de Montreux,Christmas market,Festive tradition,One of Switzerland's biggest and most atmospheric Christmas markets along Montreux lakefront.,Winter,Annual (November-December),46.4361,6.911,2559447.8,1142887.7,Montreux - Quais,21st,No,Over 150 decorated chalets.,Montreux-Villeneuve
Saint-Martin de Peissy (Geneva),Wine tradition,End of harvest celebration,Annual celebration of end of grape harvest in the Geneva wine village of Peissy on the Saturday closest to November 11.,Autumn,Annual (November),46.1926,6.0574,2493371.6,1116622.6,Peissy (Satigny) - Canton de Genève,20th (since 1995),No,Geneva's wine harvest tradition.,Geneva
Tournée saucisses (Aigle/Ollon),New Year tradition,Culinary procession,"Traditional New Year's sausage distribution/procession in the Chablais region (Ollon, Aigle), near the eastern end of the corridor.",Winter,Annual (New Year),46.434,6.929,2560829.7,1142645.1,"Villeneuve (corridor end, near Aigle)",Historical,Yes (cantonal living traditions),New Year's food tradition.,Montreux-Villeneuve
Bénichon / Bénichon-like traditions,Harvest thanksgiving,Rural festival,"Autumn harvest festival with traditional meals (bénichon menu with cream, cuchaule bread, meringues). More associated with Fribourg but celebrated in Vaud border areas.",Autumn,Annual (variable),46.4756,6.8284,2553133.9,1147324.8,"Various (Chardonne, etc.)",Medieval,Yes (broader Swiss living tradition),Bridges Vaud-Fribourg cultural boundary.,Vevey-La Tour-de-Peilz
Cor des Alpes tradition,Music tradition,Traditional instrument,Alphorn playing tradition maintained by groups like L'Echo du Bois-Rond covering Geneva to Lausanne region. Performances at festivals and national celebrations.,Year-round,Multiple events,46.3836,6.24018,2507805.3,1137620.3,Corridor-wide (Nyon base),"Medieval (instrument), 20th (groups)",Yes (broader Swiss tradition),"Iconic Swiss instrument, actively practiced along corridor.",Corridor-wide / Rotating
Marchés folkloriques d'Echallens,Market tradition,Folklore market,Weekly folklore markets every Thursday in July in Echallens (hinterland of Lausanne). Legacy of the Fête du Blé et du Pain tradition.,Summer,Weekly (July Thursdays),46.535,6.635,2538349.2,1154061.7,Lausanne (closest corridor city),20th (since 1978),No,Directly linked to the Fête du Blé et du Pain.,Lausanne
Giron des Musiques de Lavaux et du Gros-de-Vaud,Giron tradition,Fanfare/brass band gathering,"Annual rotating gathering of fanfare societies from Lavaux and Gros-de-Vaud (Pully, Cully, Belmont-sur-Lausanne, Grandvaux, Echallens, etc.). Includes band competitions, soloist contests, parade, and communal festivities. Rotates host village each year.",Spring,"Annual (May, rotating host)",46.51124,6.66003,2540242.7,1151400.9,Rotating: Pully/Cully/Belmont/Grandvaux area,19th (SCMV since 1892),Yes (cantonal living traditions),"Includes ~14 societies from the corridor. 2022 in Pully, 2026 in Mézières.",Corridor-wide / Rotating
Giron des Musiques de la Riviera,Giron tradition,Fanfare/brass band gathering,"Rotating annual gathering of fanfare societies from the Riviera district (Vevey, Montreux, La Tour-de-Peilz area). Band competitions, parades, and festivities.",Spring-Summer,Annual (rotating host),46.46322,6.84379,2554305.6,1145939.8,Rotating: Vevey/Montreux/La Tour-de-Peilz area,19th,Yes (cantonal living traditions),Part of the SCMV network of 105 Vaudois music societies.,Corridor-wide / Rotating
Giron des Musiques de La Côte,Giron tradition,Fanfare/brass band gathering,"Rotating annual gathering of fanfare societies from the La Côte district (Nyon, Rolle, Morges area). Band competitions, parades, communal festivities.",Spring-Summer,Annual (rotating host),46.46036,6.33562,2515267.0,1146044.8,Rotating: Nyon/Rolle/Morges area,19th,Yes (cantonal living traditions),Covers the western stretch of the City101 corridor.,Corridor-wide / Rotating
Giron du Centre - Jeunesses campagnardes,Giron tradition,Youth rural society gathering,"Annual summer gathering of rural youth societies (jeunesses campagnardes) from the Centre region covering Lausanne hinterland. Athletic competitions (athletics, cross-country, tug-of-war, wrestling, football, volleyball), communal meals, and festivities. Rotating host.",Summer,"Annual (rotating host, or Cantonale every 5 years)",46.54183,6.63235,2538153.4,1154822.9,Rotating: Lausanne hinterland,20th (Giron du Centre since 1933),Yes (cantonal living traditions),"Part of FVJC (9,000 members, 200 sections). Tradition created to combat rural exodus.",Corridor-wide / Rotating
Giron du Pied-du-Jura - Jeunesses campagnardes,Giron tradition,Youth rural society gathering,"Annual summer gathering of rural youth societies from the Pied-du-Jura region (Morges-Nyon hinterland). Six sporting disciplines, communal festivities, intergenerational gathering.",Summer,Annual (rotating host),46.51037,6.49639,2527683.1,1151442.5,Rotating: Morges-Nyon hinterland,20th (since 1930s),Yes (cantonal living traditions),76th Giron FJDN was held at Marchissy (near Nyon) in 2025.,Corridor-wide / Rotating
Fête cantonale des Jeunesses campagnardes (FVJC),Giron tradition,Cantonal youth festival,"Every 5 years, all 4 regional Girons merge into a single cantonal festival lasting 3 weeks. Replaces annual girons. All sporting disciplines, official ceremonies, anthem singing, flag ceremonies.",Summer,Every 5 years,46.53139,6.61041,2536458.9,1153680.1,Lausanne (cantonal),20th,Yes (cantonal living traditions),"Unites ~9,000 members from 200 sections across Vaud.",Corridor-wide / Rotating
Fête fédérale de gymnastique (Lausanne 2025),Giron tradition,Federal gymnastics festival,"Switzerland's largest sports festival, held in Lausanne in 2025. 70,000 athletes, 23,000 youth. Competitions in artistic gymnastics, athletics, team gymnastics, national games. Tradition since 1832.",Summer,"Every 6 years (cantonal), rotating (federal)",46.5196,6.6328,2538162.8,1152351.6,Lausanne - Malley/Vidy/Pontaise,"19th (since 1832 nationally, 1851 Vaud)",Yes (cantonal living traditions),Held in Lausanne in 1909 and 2025. Major community tradition.,Lausanne
Fêtes cantonales de gymnastique vaudoise,Giron tradition,Cantonal gymnastics,"Every 6 years, all Vaudois gymnastics societies gather for cantonal competitions. District-level girons held in intermediate years. Tradition since 1851.",Summer,"Every 6 years (cantonal), annual (district)",46.53123,6.61092,2536497.4,1153661.7,Lausanne-Malley,19th (since 1851),Yes (cantonal living traditions),Major sporting and social tradition.,Corridor-wide / Rotating
Tir cantonal / Sociétés de tir,Giron tradition,Traditional shooting,Annual and periodic shooting competitions organized by local shooting societies (sociétés de tir). Deep Swiss tradition linked to military service and civic identity. Multiple societies along the corridor.,Summer-Autumn,Annual cantonal + periodic local,46.38314,6.24189,2507936.2,1137567.7,Nyon (tir tradition),16th onwards,Yes (broader Swiss tradition),Constitutional right to bear arms linked to militia tradition.,Corridor-wide / Rotating
Sociétés de chant / Chorales,Music tradition,Choral singing societies,"Network of local choral societies (sociétés de chant) across the corridor. Annual girons/gatherings, cantonal festivals. Deep roots in Vaudois communal life.",Year-round,Annual girons + regular rehearsals,46.52151,6.63321,2538196.3,1152564.1,Lausanne (choral capital),19th,Yes (cantonal living traditions),Multiple societies in every lakeside town.,Corridor-wide / Rotating
Vevey Spring Classic,Music festival,Classical music,"Annual spring classical music festival in Vevey on the shores of Lake Geneva. International soloists perform Mozart, Brahms, and other major composers.",Spring,Annual (May),46.4598,6.8422,2554180.4,1145560.2,Vevey - Salle del Castillo / Musée Jenisch,21st (since 2022),No,5th edition in 2026. Growing cultural event.,Vevey-La Tour-de-Peilz
Foire de Brent (Montreux),Traditional fair,Village fair,"Traditional annual fair in the village of Brent above Montreux. Local products, community gathering.",Variable,Annual,46.45,6.895,2558228.9,1144441.3,Brent (Montreux),Historical,Yes (cantonal living traditions),Mountain-lakeside connection.,Vevey-La Tour-de-Peilz
Marché de Noël de Vevey,Christmas market,Festive tradition,"Christmas market on Place du Marché in Vevey with 20 stands, ice rink, gourmet animations at Alimentarium, and Vaud terroir products.",Winter,Annual (December),46.4598,6.8422,2554180.4,1145560.2,Vevey - Place du Marché,21st,No,Showcases Vaudois terroir products.,Vevey-La Tour-de-Peilz
Fête du Bois (various locations),Craft tradition,Woodworking heritage,Periodic celebrations of woodworking and forestry traditions in Vaudois villages. Connected to the broader Swiss timber and alpine economy heritage.,Variable,Periodic,46.535,6.64,2538732.7,1154057.8,Various corridor locations,Historical,No,Part of rural craft heritage.,Lausanne
