id,name,category,subcategory,location_name,municipality,lat_wgs84,lon_wgs84,osm_verified,noise_level_dBA,temporal_pattern,frequency_character,provenance,description,data_quality,notes
19,Morges Urban Traffic,TRANSPORT,Road,Place de la Gare area, Morges centre,Morges,46.51093,6.49454,YES,70,Continuous day,Broadband,Anthropogenic – urban traffic,"Mid-size town with significant through-traffic on lakeside Route du Lac and centre streets. OSM: Place de la Gare, Morges",Estimated / modelled,—
20,SBB Rail – Morges Station,TRANSPORT,Rail,Gare de Morges,Morges,46.51093,6.49454,YES,70,Frequent; IR/RE stop,Low-freq rolling + PA,Anthropogenic – rail,"High-frequency IC/IR/RE; busy intermediate station. OSM: Place de la Gare, Morges (station forecourt)",Estimated / modelled,"Shared coordinate with record 19; station is within the same urban block"
21,Morges Port & Lakeside Promenade,TRANSPORT,Waterborne,Port du Château / Place du Port,Morges,46.50682,6.49842,YES,58,Seasonal daytime,Mid-freq engine + crowd,Anthropogenic – recreational + social,"Large marina complex; lake festival noise events (Fête de la Tulipe etc.). OSM: Port du Château marina",Estimated,Event noise seasonal peaks
22,Morges Military Camp – Occasional Exercises,INDUSTRY/INSTITUTIONAL,Military,Military area west of Morges,Morges,46.51000,6.48000,NO,65,Occasional / irregular,Impulsive + broadband,Anthropogenic – institutional,"Military training area near Morges; intermittent impulsive noise from exercises. OSM camp not individually mapped; coordinate estimated from known location",Estimated,"Low frequency; irregular pattern; coordinate approximate"
23,A1 Motorway – Morges to Lausanne,TRANSPORT,Motorway,A1 Préverenges sector,Préverenges,46.51327,6.52678,YES,73,Continuous; peak AM/PM,Broadband rolling,Anthropogenic – road traffic,"Motorway runs close to lake edge; beach areas at Préverenges affected. OSM: Préverenges plage guidepost used as lakeshore reference",Estimated / modelled,—
24,Préverenges Beach – Seasonal Recreation,NATURAL/SOCIAL,Social,Plage de Préverenges,Préverenges,46.51327,6.52678,YES,62,Summer weekends,Mid-freq crowd + watercraft,Anthropogenic – social,"Popular lakeshore beach; crowd noise, music from beach bars, jet-ski noise. OSM: Préverenges plage guidepost",Estimated,"Seasonal summer peaks; shares location reference with record 23"
25,EPFL Campus – Institutional Noise,INDUSTRY/INSTITUTIONAL,Institutional,EPFL main campus,Écublens,46.51866,6.56656,YES,55,Weekday daytime,Broadband diffuse,Anthropogenic – institutional,"Busy university campus; ventilation systems, vehicle traffic, outdoor gatherings. OSM: EPFL university polygon centroid",Estimated,—
26,Lausanne-Ouchy Urban & A9 Noise,TRANSPORT,Road / Motorway,Ouchy-Olympique metro station area,Lausanne,46.50724,6.62655,YES,74,Continuous; peak rush hours,Broadband,Anthropogenic – urban + motorway,"A9 motorway approaches lake; combined urban road noise intense at lakeside. OSM: Ouchy-Olympique metro halt",Estimated / modelled,—
27,Lausanne Metro M2 – Ouchy Viaduct,TRANSPORT,Metro,Ouchy-Olympique station,Lausanne,46.50724,6.62655,YES,65,Frequent; 06:00–01:00,Mid-freq steel wheel squeal,Anthropogenic – rail / metro,"M2 metro; steel guide wheels squeal on curves; viaduct amplifies noise toward port. OSM: Ouchy-Olympique railway halt node",Estimated,"Coordinate shared with record 26 (same location)"
28,Lausanne Ouchy – Port & CGN Terminal,TRANSPORT,Waterborne,Port d'Ouchy,Lausanne,46.50649,6.62359,YES,62,Daytime; seasonal peaks,Mid-freq engine + crowd + PA,Anthropogenic – transport + social,"CGN flagship hub; regular ferry calls; tourist crowd; port PA system. OSM: Port d'Ouchy marina polygon centroid",Estimated,—
29,Lausanne Urban Core Traffic,TRANSPORT,Road,Grand-Pont / Place de la Gare,Lausanne,46.51699,6.62917,YES,73,Continuous day,Broadband,Anthropogenic – urban traffic,"Dense urban road network with trams; significant background noise over city core. OSM: Gare de Lausanne bus station node",Estimated / modelled,—
30,SBB Rail – Lausanne Station,TRANSPORT,Rail,Gare de Lausanne,Lausanne,46.51699,6.62917,YES,72,Very frequent; 24h (reduced),Low-freq + announcements,Anthropogenic – rail,"Major hub; IC/IR/TGV/EC/RE + shunting; one of the busiest Swiss stations. OSM: Gare de Lausanne node",Estimated / modelled,"Noise propagates down to lake via Ouchy valley"
31,A9 Motorway – Lausanne to Pully,TRANSPORT,Motorway,A9 Pully sector,Pully,46.50980,6.66175,YES,72,Continuous; peak AM/PM,Broadband,Anthropogenic – road traffic,"Motorway runs above lake in cutting then viaduct; Pully lakeshore partly shielded. OSM: Pully municipality centroid",Estimated / modelled,—
32,Lutry Village Traffic & Port,TRANSPORT,Road + Waterborne,Port de Lutry,Lutry,46.50153,6.68511,YES,62,Daytime; seasonal,Broadband + engine,Anthropogenic – road + recreational,"Lakeside village road; small marina; wine tourism traffic (Lavaux). OSM: Port de Lutry harbour polygon centroid",Estimated,—
33,SBB Rail – Lavaux Lakeshore Corridor,TRANSPORT,Rail,Rail corridor through Lavaux (Cully sector),Cully / Bourg-en-Lavaux,46.48890,6.72896,YES,68,Frequent daytime,Low-freq rolling on curves,Anthropogenic – rail,"Rail track runs directly at lake edge through Lavaux UNESCO vineyards; curved sections produce wheel squeal. OSM: Route de la Gare, Cully",Estimated / modelled,"CRITICAL: major rail noise in UNESCO World Heritage landscape; key acoustic ecology conflict"
34,Cully Marina & Village,TRANSPORT,Waterborne + Road,Place de la Gare / Port de Cully,Cully,46.48890,6.72700,YES,58,Seasonal daytime,Engine + crowd,Anthropogenic – recreational,"Wine festival events (Caves Ouvertes) create seasonal noise spikes; otherwise quiet. OSM: Place de la Gare, Cully area",Estimated,—
35,Lavaux Vineyard Zone – Dominant Natural Soundscape,NATURAL,Natural,AOC Lavaux – Epesses / Villette vineyards,Grandvaux / Bourg-en-Lavaux,46.49635,6.71108,YES,35,Continuous,Wind + bird + lake waves,Natural + aeolian,"Reference quiet zone; wind through vines, birdsong, lake lapping. UNESCO World Heritage Landscape. OSM: AOC Lavaux–Villette vineyard polygon centroid",Field-based estimate,"Priority zone for acoustic ecology protection; lowest noise reference in corridor"
36,Vevey Urban Traffic,TRANSPORT,Road,Rue des Communaux / Gare area,Vevey,46.46254,6.84357,YES,70,Continuous day,Broadband,Anthropogenic – urban traffic,"Mid-size town; lakeside road dense with traffic; Nestlé HQ delivery traffic. OSM: Gare de Vevey bicycle rental node (station forecourt area)",Estimated / modelled,—
37,SBB Rail – Vevey Station,TRANSPORT,Rail,Gare de Vevey,Vevey,46.46254,6.84357,YES,70,Frequent daytime,Low-freq rolling + PA,Anthropogenic – rail,"RE/IR stop; GoldenPass connection interchange. OSM: Gare de Vevey node",Estimated / modelled,—
38,Vevey Port & Festival Area,TRANSPORT/SOCIAL,Social + Waterborne,Port de Vevey,Vevey,46.45689,6.85110,YES,62,Seasonal; event peaks,Mid-freq crowd + music,Anthropogenic – social + recreational,"Vevey lakeside events area; Festival Images, Fête des Vignerons (decadal); outdoor concerts; CGN ferry. OSM: Port de Vevey marina polygon centroid",Estimated,"Major event noise peaks; otherwise moderate"
39,Montreux Urban Traffic & Lakeside,TRANSPORT,Road,Avenue Claude-Nobs / Grand Rue,Montreux,46.43914,6.90478,YES,70,Continuous day; seasonal peaks,Broadband,Anthropogenic – urban traffic,"Tourist town with dense lakeside traffic; narrow valley amplifies road noise. OSM: Auditorium Stravinski area (lakeside central reference)",Estimated / modelled,—
40,SBB Rail – Montreux Station,TRANSPORT,Rail,Gare de Montreux (Rue de la Gare),Montreux,46.43533,6.91262,YES,70,Frequent; RE + GoldenPass,Low-freq rolling + PA,Anthropogenic – rail,"RE + GoldenPass scenic line interchange; rack railway sounds (Rocher-de-Naye). OSM: Rue de la Gare, Montreux",Estimated / modelled,—
41,Montreux Jazz Festival – Seasonal Event Peak,SOCIAL,Event,Auditorium Stravinski,Montreux,46.43914,6.90478,YES,75,July only (2 weeks); evening/night,Mid-high freq music + crowd,Anthropogenic – social,"World-famous festival; outdoor stages + crowd noise on lakefront. OSM: Auditorium Stravinski building polygon centroid",Known event,"Isolated seasonal spike; not representative of baseline"
42,A9 Motorway – Villeneuve approach,TRANSPORT,Motorway,A9 near Villeneuve,Villeneuve,46.39148,6.93289,YES,70,Continuous; peak AM/PM,Broadband,Anthropogenic – road traffic,"A9 descends into Rhône plain; motorway near lake edge south of Villeneuve. OSM: Zone industrielle de Villeneuve polygon centroid used as reference",Estimated / modelled,—
43,SBB Rail – Villeneuve Station & Yard,TRANSPORT,Rail,Gare de Villeneuve,Villeneuve,46.39829,6.92649,YES,68,Frequent + shunting,Low-freq + shunting impacts,Anthropogenic – rail,"Eastern terminus of main lakeside corridor; freight yard shunting adds low-freq impulsive noise. OSM: Place de la Gare, Villeneuve (VD)",Estimated / modelled,"Eastern terminus anchor"
44,Villeneuve Industrial Zone,INDUSTRY/INSTITUTIONAL,Industrial,Zone industrielle de Villeneuve,Villeneuve,46.39148,6.93289,YES,65,Weekday 07:00–22:00,Broadband + machinery tones,Anthropogenic – industrial,"Light to medium industry; logistics operations; HGV movements. OSM: Zone industrielle de Villeneuve polygon centroid (OSM ID: relation 19151963)",Estimated,"Eastern terminus anchor noise source"
45,Rhône Delta / Les Grangettes – Natural Soundscape,NATURAL,Natural,Les Grangettes wetland (Chessel / Villeneuve sector),Chessel,46.34957,6.89445,YES,32,Continuous,Wind + bird + water flow,Natural – aeolian + hydrological,"Protected wetland / Ramsar site east of Villeneuve. Very low anthropogenic noise. OSM: Chessel municipality centroid used as proxy (Les Grangettes not individually mapped in OSM)",Field-based estimate,"Priority zone for acoustic ecology conservation; natural baseline reference"
46,Lake Surface – Wind & Wave Ambient,NATURAL,Natural,Lake Geneva open water – northern shore mid-corridor,Various (mid-lake),46.47000,6.58000,NO,35,Continuous; seasonal variation,Low-freq broadband (wind & waves),Natural – aeolian + hydrological,"Open water wind and wave noise forms background acoustic texture across entire corridor. Coordinate is mid-corridor lake surface estimate",Estimated,"General reference value; not an OSM-verified point feature"
47,CGN Ferry – Nyon to Yvoire crossing,TRANSPORT,Waterborne,Nyon–Yvoire ferry route (Nyon departure),Nyon,46.37877,6.24009,YES,55,Daytime; hourly approx,Mid-freq diesel engine,Anthropogenic – waterborne transport,"CGN diesel-electric ferry; engine noise audible 200–400m from vessel at departure. Coordinate: Port de Nyon (OSM verified)",Estimated,—
48,CGN Ferry – Rolle to Yvoire crossing,TRANSPORT,Waterborne,Rolle–Yvoire ferry route (Rolle departure),Rolle,46.45241,6.33626,YES,55,Seasonal daytime,Mid-freq diesel,Anthropogenic – waterborne transport,"Seasonal ferry service; moderate noise footprint. Coordinate: Port de Rolle south marina (OSM verified)",Estimated,Seasonal
49,Versoix – Commercial / Light Industrial Strip,INDUSTRY/INSTITUTIONAL,Commercial / Light Industrial,Versoix town centre area,Versoix,46.27731,6.16896,YES,62,Weekday 07:00–20:00,Broadband + HVAC tones,Anthropogenic – commercial,"Retail and light industry area along N1; HVAC systems, delivery trucks. OSM: Versoix municipality centroid used as reference",Estimated,—
50,Gland Station & Commercial Area,TRANSPORT,Rail + Road,Gare de Gland,Gland,46.42017,6.26998,YES,65,Frequent daytime,Broadband + rail,Anthropogenic – rail + road,"RE station; growing commuter town; bus interchange; parking lot noise. OSM: Gare de Gland (Route de Begnins bicycle rental node)",Estimated / modelled,—
